Week,AI,Python
2015-11-08,34,27
2015-11-15,40,26
2015-11-22,59,28
2015-11-29,46,29
2015-12-06,36,29
2015-12-13,34,27
2015-12-20,42,23
2015-12-27,33,19
2016-01-03,44,35
2016-01-10,48,39
2016-01-17,42,38
2016-01-24,41,38
2016-01-31,44,37
2016-02-07,36,31
2016-02-14,41,35
2016-02-21,50,38
2016-02-28,44,37
2016-03-06,45,35
2016-03-13,44,37
2016-03-20,44,31
2016-03-27,42,33
2016-04-03,40,35
2016-04-10,41,40
2016-04-17,38,41
2016-04-24,46,36
2016-05-01,39,25
2016-05-08,45,40
2016-05-15,42,41
2016-05-22,41,45
2016-05-29,42,40
2016-06-05,44,42
2016-06-12,44,42
2016-06-19,43,43
2016-06-26,41,41
2016-07-03,36,40
2016-07-10,34,37
2016-07-17,34,32
2016-07-24,33,36
2016-07-31,35,37
2016-08-07,30,31
2016-08-14,30,26
2016-08-21,34,37
2016-08-28,40,35
2016-09-04,35,39
2016-09-11,34,34
2016-09-18,37,28
2016-09-25,42,37
2016-10-02,52,38
2016-10-09,41,35
2016-10-16,42,41
2016-10-23,44,40
2016-10-30,52,39
2016-11-06,48,48
2016-11-13,52,45
2016-11-20,56,45
2016-11-27,56,45
2016-12-04,55,46
2016-12-11,48,48
2016-12-18,51,42
2016-12-25,57,35
2017-01-01,63,30
2017-01-08,58,44
2017-01-15,53,55
2017-01-22,50,47
2017-01-29,52,47
2017-02-05,50,48
2017-02-12,49,45
2017-02-19,51,48
2017-02-26,51,46
2017-03-05,46,48
2017-03-12,45,44
2017-03-19,43,39
2017-03-26,45,45
2017-04-02,49,43
2017-04-09,47,50
2017-04-16,54,50
2017-04-23,51,54
2017-04-30,36,32
2017-05-07,55,50
2017-05-14,54,47
2017-05-21,53,49
2017-05-28,57,50
2017-06-04,56,56
2017-06-11,63,56
2017-06-18,54,49
2017-06-25,70,53
2017-07-02,58,54
2017-07-09,52,55
2017-07-16,56,48
2017-07-23,52,49
2017-07-30,59,50
2017-08-06,52,46
2017-08-13,47,39
2017-08-20,56,51
2017-08-27,56,53
2017-09-03,54,51
2017-09-10,55,50
2017-09-17,60,49
2017-09-24,56,52
2017-10-01,66,58
2017-10-08,58,51
2017-10-15,66,57
2017-10-22,66,57
2017-10-29,67,54
2017-11-05,86,62
2017-11-12,72,70
2017-11-19,71,62
2017-11-26,75,67
2017-12-03,81,73
2017-12-10,77,71
2017-12-17,80,77
2017-12-24,68,53
2017-12-31,62,39
2018-01-07,77,61
2018-01-14,77,72
2018-01-21,72,66
2018-01-28,67,69
2018-02-04,64,70
2018-02-11,60,63
2018-02-18,61,62
2018-02-25,63,63
2018-03-04,64,66
2018-03-11,63,64
2018-03-18,55,58
2018-03-25,61,60
2018-04-01,66,64
2018-04-08,61,68
2018-04-15,62,76
2018-04-22,58,71
2018-04-29,42,43
2018-05-06,64,70
2018-05-13,68,76
2018-05-20,67,77
2018-05-27,69,72
2018-06-03,67,74
2018-06-10,63,76
2018-06-17,62,70
2018-06-24,61,76
2018-07-01,57,72
2018-07-08,56,72
2018-07-15,55,62
2018-07-22,65,71
2018-07-29,55,70
2018-08-05,52,68
2018-08-12,47,52
2018-08-19,57,72
2018-08-26,61,68
2018-09-02,55,69
2018-09-09,57,76
2018-09-16,57,65
2018-09-23,56,69
2018-09-30,60,74
2018-10-07,68,72
2018-10-14,71,80
2018-10-21,66,83
2018-10-28,63,81
2018-11-04,66,82
2018-11-11,66,80
2018-11-18,64,71
2018-11-25,62,81
2018-12-02,71,80
2018-12-09,61,79
2018-12-16,61,80
2018-12-23,58,62
2018-12-30,46,30
2019-01-06,69,78
2019-01-13,64,70
2019-01-20,67,76
2019-01-27,61,78
2019-02-03,61,77
2019-02-10,60,67
2019-02-17,61,76
2019-02-24,62,71
2019-03-03,59,71
2019-03-10,60,69
2019-03-17,54,65
2019-03-24,59,67
2019-03-31,81,66
2019-04-07,64,76
2019-04-14,65,81
2019-04-21,67,81
2019-04-28,44,34
2019-05-05,68,71
2019-05-12,71,81
2019-05-19,76,87
2019-05-26,70,88
2019-06-02,70,89
2019-06-09,64,89
2019-06-16,70,92
2019-06-23,72,90
2019-06-30,77,87
2019-07-07,74,88
2019-07-14,60,75
2019-07-21,62,77
2019-07-28,58,81
2019-08-04,69,80
2019-08-11,56,53
2019-08-18,70,81
2019-08-25,73,87
2019-09-01,76,89
2019-09-08,65,85
2019-09-15,59,76
2019-09-22,65,74
2019-09-29,74,89
2019-10-06,63,85
2019-10-13,66,76
2019-10-20,73,77
2019-10-27,84,91
2019-11-03,78,81
2019-11-10,75,97
2019-11-17,73,94
2019-11-24,81,93
2019-12-01,77,98
2019-12-08,75,98
2019-12-15,76,90
2019-12-22,73,83
2019-12-29,65,36
2020-01-05,80,88
2020-01-12,76,85
2020-01-19,91,94
2020-01-26,96,89
2020-02-02,96,91
2020-02-09,83,81
2020-02-16,81,94
2020-02-23,72,78
2020-03-01,71,87
2020-03-08,67,88
2020-03-15,65,73
2020-03-22,64,81
2020-03-29,65,74
2020-04-05,54,75
2020-04-12,60,79
2020-04-19,56,76
2020-04-26,67,72
2020-05-03,62,64
2020-05-10,65,87
2020-05-17,70,86
2020-05-24,68,94
2020-05-31,71,94
2020-06-07,72,94
2020-06-14,76,100
2020-06-21,83,98
2020-06-28,80,95
2020-07-05,80,96
2020-07-12,78,100
2020-07-19,63,79
2020-07-26,65,95
2020-08-02,75,95
2020-08-09,60,72
2020-08-16,70,92
2020-08-23,72,94
2020-08-30,61,95
2020-09-06,63,95
2020-09-13,66,93
2020-09-20,58,75
2020-09-27,58,83
2020-10-04,69,87
2020-10-11,59,82
2020-10-18,62,84
2020-10-25,59,87
