Year,Tokyo,Osaka,Diff
1883,32.8,35.1,-2.3
1884,31.2,34,-2.8
1885,31.8,34.8,-3
1886,34,35.6,-1.6
1887,32.6,35.6,-3
1888,32.8,34.8,-2
1889,33.3,35.4,-2.1
1890,32.3,35.4,-3.1
1891,34.4,34.8,-0.4
1892,34.4,34.4,0
1893,34,35.7,-1.7
1894,35.1,36.4,-1.3
1895,33,35.4,-2.4
1896,33.2,35.1,-1.9
1897,34,36.5,-2.5
1898,32.8,36.5,-3.7
1899,34.1,34,0.1
1900,35.1,35.2,-0.1
1901,35.6,34.9,0.7
1902,32.5,32.9,-0.4
1903,33.7,36.6,-2.9
1904,32.3,36.3,-4
1905,32.9,33.3,-0.4
1906,32.8,35.8,-3
1907,31.6,35.3,-3.7
1908,33.2,36.2,-3
1909,32.3,37.6,-5.3
1910,32.8,34.6,-1.8
1911,33.4,34.5,-1.1
1912,34.4,34.3,0.1
1913,32.5,35.1,-2.6
1914,34.5,34.9,-0.4
1915,32.9,36,-3.1
1916,32,34.6,-2.6
1917,33.2,35.4,-2.2
1918,34.4,34,0.4
1919,33.4,34.7,-1.3
1920,31.7,34.3,-2.6
1921,34.2,35,-0.8
1922,35.7,36.9,-1.2
1923,35.1,36,-0.9
1924,36.1,36.6,-0.5
1925,33.6,34.5,-0.9
1926,36.4,34.3,2.1
1927,34.2,34.1,0.1
1928,31.3,34.6,-3.3
1929,36.2,35.1,1.1
1930,33.5,35,-1.5
1931,33.8,35.6,-1.8
1932,34.4,35.5,-1.1
1933,34.4,34.7,-0.3
1934,34.1,35.1,-1
1935,32.7,36.7,-4
1936,35.1,34.5,0.6
1937,36.2,36.3,-0.1
1938,31.5,34.6,-3.1
1939,32.2,35.5,-3.3
1940,32.7,35,-2.3
1941,33.1,34.7,-1.6
1942,38.1,37.2,0.9
1943,34.4,34.4,0
1944,35,35.2,-0.2
1945,34,36.2,-2.2
1946,33.8,35.5,-1.7
1947,36,38.1,-2.1
1948,33.1,35.5,-2.4
1949,34.1,35.4,-1.3
1950,34.2,34.6,-0.4
1951,36.4,36.3,0.1
1952,34.5,36.4,-1.9
1953,38.4,35,3.4
1954,36.3,36.2,0.1
1955,35.4,35,0.4
1956,35.5,37.7,-2.2
1957,34.9,35.8,-0.9
1958,33.6,34.4,-0.8
1959,35,38.2,-3.2
1960,34.7,36.6,-1.9
1961,35,35.6,-0.6
1962,37.6,36.4,1.2
1963,37.2,34.5,2.7
1964,35.2,37.1,-1.9
1965,35,36.7,-1.7
1966,34.9,37.1,-2.2
1967,37.2,36.4,0.8
1968,33.5,34.8,-1.3
1969,35.8,35.6,0.2
1970,35.5,35.9,-0.4
1971,34.4,35.8,-1.4
1972,35.2,36.9,-1.7
1973,34.3,36,-1.7
1974,34.2,35.4,-1.2
1975,35.5,35.6,-0.1
1976,35.4,34.7,0.7
1977,34.9,35.8,-0.9
1978,36.3,38,-1.7
1979,33.5,35.8,-2.3
1980,32.2,34.2,-2
1981,33.9,36.8,-2.9
1982,33,34.6,-1.6
1983,37.1,38.5,-1.4
1984,35,36.9,-1.9
1985,33.9,38.1,-4.2
1986,34.6,35.8,-1.2
1987,34,35.2,-1.2
1988,32.9,35.4,-2.5
1989,33.5,35,-1.5
1990,35.9,38.3,-2.4
1991,35.2,37.3,-2.1
1992,34.2,35.8,-1.6
1993,32.9,34.9,-2
1994,39.1,39.1,0
1995,36.4,36.3,0.1
1996,38.7,36.4,2.3
1997,34.5,35.1,-0.6
1998,35.5,35.7,-0.2
1999,34.8,37,-2.2
2000,34.5,37.7,-3.2
2001,36.3,38.4,-2.1
2002,35.8,37.1,-1.3
2003,34.3,35.4,-1.1
2004,36.5,36.2,0.3
2005,35.8,37,-1.2
2006,35.4,37.9,-2.5
2007,37.5,38.3,-0.8
2008,35.3,36.4,-1.1
2009,33.2,36.3,-3.1
2010,37.2,37.4,-0.2
2011,36.1,36.2,-0.1
2012,35.7,36.7,-1
2013,38.3,38.4,-0.1
2014,36.1,34.7,1.4
2015,37.7,38,-0.3
2016,37.7,38.1,-0.4
2017,37.1,37.4,-0.3
2018,37.3,37.6,-0.3
2019,35.6,37.5,-1.9
2020,37.3,38.6,-1.3
